,,,,,
Equity Report,2010,2011,2012,2013,2014
PER(x),8.44,5.6,15,6.7,19.34
Market Cap (mio IDR),1599075,1019191,3092717,2719993,6268593
Weight Cap (%),0.05,0.03,0.07,0.07,0.13
,,,,,
Consolidated Financial Statement,2010,2011,2012,2013,2014
Current Assets,3943.8,5377.7,7283.1,9099.5,9484.3
Non Current Assets,983.9,735.3,588.9,621.5,974.6
Total Assets,4927.7,6113,7872.1,9721,10458.9
Short Term Liabilities,3450.7,4875.5,5852.6,6541.7,7069.7
Long Term Liabilities,609.2,247.1,838.6,1630.8,1637.6
Total Liabilities,4059.9,5122.6,6691.2,8172.5,8707.3
Equity Distributed to Controlling Entity,8611,9836,1174.1,1539.3,1744.5
Non Controlling Interests,6.6,6.8,6.8,9.2,7
Total Equity,867.8,990.4,1180.9,1548.5,1751.5
Total Liabilities and Equity,4927.7,6113,7872.1,9721,10458.9
,,,,,
Income Statement,2010,2011,2012,2013,2014
Gross Revenue,5675,6695.1,7627.7,9854.1,8672
COGS,4964.3,5960.7,6671.8,-8606.4,-7655.4
EBIT,769.1,734.4,955.9,1247.7,1016.6
EBI,320.8,326.4,423.3,714.4,594.6
Earning Distributed to Controlling Entity,189.5,182.1,211.6,406,324.1
EPS Distributed to Main Controlling Entity (000 IDR),107.8,103.6,117.5,225.4,179.9
,,,,,
Cashflow Statement,2010,2011,2012,2013,2014
Cashflow from Operating Activity,-30.8,519.5,241.2,570.8,-978.2
Cashflow from Invesment Activity,-44.8,-7.9,-110.9,-298.8,-587.9
Cashflow from Financial Activity,10.3,-208.4,243.8,715.3,437.6
,,,,,
Financial Ratio,2010,2011,2012,2013,2014
Important Ratios,2010,2011,2012,2013,2014
Current Ratio,1.1,1.1,1.2,1.4,1.3
Quick Ratio,0.4,0.3,0.4,0.5,0.4
AR Turnover,4.7,6.3,6.4,6.9,5
Aset Turnover,1.1,1.3,1.5,1,0.8
Solvency Measures,2010,2011,2012,2013,2014
Long Term Liabilities to Equity (%),63.3,3.7,52.7,105.3,93.5
Total Liabilities to Equity (%),4.7,5.2,5.7,527.8,497.1
Long Term Liabilities to TA (%),11.2,0.6,7.9,16.8,15.7
Times Interest Earned Ratio,3.7,4.4,5.6,5.9,4.3
Profitability Measures,2010,2011,2012,2013,2014
Gross Profit Margin (%),12.5,11,12.5,12.7,11.7
Operating Profit Margin (%),7,5.7,6.3,8.3,8.5
EBITDA Margin (%),7.2,5.8,6.5,8.8,9.2
Net Profit Margin (%),3.3,2.7,2.8,4.1,3.8
Liquidity Measures,2010,2011,2012,2013,2014
ROE (%),23.8,19.7,19.6,26.4,18.6
ROA (%),3.6,3.3,3,4.2,3.1
Growth Measures,2010,2011,2012,2013,2014
Asset Growth (%),-12.5,24.1,28.8,23.5,7.6
Liabilities Growth (%),-17,26.2,30.6,22.1,6.5
Equity Growth (%),17.1,14.1,19.2,31.1,13.1
Net Working Capital Growth (%),-42.1,1.8,184.9,78.8,-5.6
Sales Growth (%),-26.4,18,13.9,29.2,-12
Gross Profit Growth (%),8.4,3.3,30.2,30.5,-18.5
Operating Profit Growth (%),1.9,-4.2,26.1,60.7,-10.3
EBITDA Growth (%),-2.8,-5.8,27.7,36,-7.9
Net Profit Growth (%),14.5,-3.9,16.2,91.5,-20
