Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,2140.00,2140.00,2140.00,2140.00,000,2140.00
2015-12-31,2140.00,2140.00,2140.00,2140.00,000,2140.00
2015-12-30,2140.00,2170.00,2130.00,2140.00,20112400,2140.00
2015-12-29,2130.00,2155.00,2120.00,2130.00,7035400,2130.00
2015-12-28,2110.00,2140.00,2110.00,2135.00,11054700,2135.00
2015-12-25,2110.00,2110.00,2110.00,2110.00,000,2110.00
2015-12-24,2110.00,2110.00,2110.00,2110.00,000,2110.00
2015-12-23,2145.00,2150.00,2105.00,2110.00,11303600,2110.00
2015-12-22,2155.00,2160.00,2125.00,2130.00,9811300,2130.00
2015-12-21,2145.00,2175.00,2130.00,2150.00,17035100,2150.00
2015-12-18,2180.00,2185.00,2135.00,2145.00,20730400,2145.00
2015-12-17,2140.00,2200.00,2120.00,2200.00,39015400,2200.00
2015-12-16,2100.00,2130.00,2065.00,2080.00,26823400,2080.00
2015-12-15,2080.00,2090.00,2050.00,2065.00,13781800,2065.00
2015-12-14,2085.00,2100.00,2040.00,2080.00,21375200,2080.00
2015-12-11,2170.00,2180.00,2120.00,2120.00,15387000,2120.00
2015-12-10,2155.00,2185.00,2150.00,2160.00,9171500,2160.00
2015-12-09,2170.00,2170.00,2170.00,2170.00,000,2170.00
2015-12-08,2160.00,2180.00,2150.00,2170.00,11838500,2170.00
2015-12-07,2210.00,2225.00,2165.00,2170.00,15750200,2170.00
2015-12-04,2190.00,2210.00,2180.00,2185.00,12750300,2185.00
2015-12-03,2210.00,2245.00,2190.00,2210.00,16702600,2210.00
2015-12-02,2240.00,2270.00,2210.00,2215.00,14711500,2215.00
2015-12-01,2175.00,2245.00,2175.00,2235.00,18837800,2235.00
2015-11-30,2200.00,2220.00,2160.00,2200.00,22838700,2200.00
2015-11-27,2280.00,2285.00,2205.00,2215.00,24653800,2215.00
2015-11-26,2255.00,2305.00,2255.00,2270.00,17152100,2270.00
2015-11-25,2280.00,2285.00,2250.00,2255.00,9724700,2255.00
2015-11-24,2270.00,2300.00,2255.00,2260.00,16196600,2260.00
2015-11-23,2300.00,2330.00,2260.00,2260.00,28091400,2260.00
2015-11-20,2250.00,2310.00,2235.00,2290.00,48261000,2290.00
2015-11-19,2195.00,2265.00,2190.00,2245.00,36321000,2245.00
2015-11-18,2200.00,2210.00,2170.00,2170.00,20438500,2170.00
2015-11-17,2205.00,2225.00,2190.00,2195.00,19301600,2195.00
2015-11-16,2165.00,2200.00,2150.00,2175.00,22344800,2175.00
2015-11-13,2225.00,2260.00,2210.00,2210.00,20999000,2210.00
2015-11-12,2225.00,2290.00,2205.00,2260.00,31725900,2260.00
2015-11-11,2250.00,2250.00,2205.00,2225.00,14650700,2225.00
2015-11-10,2140.00,2250.00,2105.00,2225.00,33784000,2225.00
2015-11-09,2245.00,2255.00,2160.00,2165.00,33161500,2165.00
2015-11-06,2275.00,2295.00,2250.00,2255.00,8183300,2255.00
2015-11-05,2260.00,2325.00,2250.00,2270.00,27012600,2270.00
2015-11-04,2335.00,2345.00,2270.00,2280.00,26535500,2280.00
2015-11-03,2280.00,2335.00,2265.00,2310.00,44356800,2310.00
2015-11-02,2205.00,2245.00,2190.00,2240.00,25776900,2240.00
2015-10-30,2165.00,2255.00,2155.00,2230.00,42848000,2230.00
2015-10-29,2340.00,2350.00,2180.00,2185.00,46186700,2185.00
2015-10-28,2330.00,2355.00,2290.00,2330.00,25968500,2330.00
2015-10-27,2335.00,2365.00,2300.00,2320.00,36663100,2320.00
2015-10-26,2370.00,2410.00,2330.00,2345.00,55121600,2345.00
2015-10-23,2335.00,2375.00,2315.00,2345.00,69946300,2345.00
2015-10-22,2285.00,2335.00,2255.00,2275.00,45506300,2275.00
2015-10-21,2250.00,2365.00,2240.00,2285.00,128571000,2285.00
2015-10-20,2070.00,2235.00,2050.00,2235.00,114607900,2235.00
2015-10-19,2070.00,2085.00,2040.00,2065.00,44496700,2065.00
2015-10-16,2140.00,2140.00,2060.00,2075.00,34691000,2075.00
2015-10-14,2115.00,2115.00,2115.00,2115.00,000,2115.00
2015-10-13,2120.00,2150.00,2060.00,2115.00,76391600,2115.00
2015-10-12,2165.00,2175.00,2110.00,2120.00,61442400,2120.00
2015-10-09,2060.00,2170.00,2060.00,2140.00,108533900,2140.00
2015-10-08,1985.00,2035.00,1950.00,2020.00,69304600,2020.00
2015-10-07,2000.00,2015.00,1920.00,1985.00,87485200,1985.00
2015-10-06,2030.00,2085.00,2000.00,2000.00,44394700,2000.00
2015-10-05,1759.08,1799.05,1759.08,1790.17,24489400,1790.17
2015-10-02,1830.15,1839.03,1741.31,1741.31,18292700,1741.31
2015-10-01,1688.00,1807.94,1643.58,1807.94,36088000,1807.94
2015-09-30,1998.95,2012.28,1972.30,1998.95,23725200,1998.95
2015-09-29,1927.88,2007.83,1927.88,1994.51,15219600,1994.51
2015-09-28,1963.41,2030.04,1954.53,1967.86,27438700,1967.86
2015-09-25,1874.57,1963.41,1874.57,1963.41,27290100,1963.41
2015-09-24,1883.45,1883.45,1883.45,1883.45,000,1883.45
2015-09-23,1865.69,1887.90,1847.92,1883.45,16882600,1883.45
2015-09-22,1887.90,1923.43,1883.45,1887.90,20232300,1887.90
2015-09-21,1843.48,1896.78,1821.27,1870.13,15208000,1870.13
2015-09-18,1821.27,1887.90,1816.82,1843.48,32818600,1843.48
