"","Date","Open","High","Low","Close","Volume","Adj.Close"
"1","2015-12-30",4574.063965,4595.513184,4571.756836,4593.007812,2664263200,4593.007812
"2","2015-12-29",4552.140137,4569.36084,4552.103027,4569.36084,1948599600,4569.36084
"3","2015-12-28",4512.294922,4568.125,4511.617188,4557.35498,1987278400,4557.35498
"4","2015-12-23",4514.456055,4522.653809,4498.983887,4522.653809,2321690400,4522.653809
"5","2015-12-22",4494.309082,4517.567871,4487.734863,4517.567871,2523875800,4517.567871
"6","2015-12-21",4452.647949,4490.680176,4452.01709,4490.680176,2098469800,4490.680176
"7","2015-12-18",4512.209961,4514.535156,4467.062988,4468.653809,2588719600,4468.653809
"8","2015-12-17",4542.121094,4555.963867,4525.741211,4555.963867,2828921200,4555.963867
"9","2015-12-16",4450.717773,4483.453125,4429.787109,4483.453125,2628416800,4483.453125
"10","2015-12-15",4370.101074,4409.171875,4370.008789,4409.171875,2243449600,4409.171875
"11","2015-12-14",4360.893066,4374.190918,4330.759766,4374.190918,2141948400,4374.190918
"12","2015-12-11",4471.356934,4473.054199,4393.521973,4393.521973,1971946000,4393.521973
"13","2015-12-10",4441.565918,4473.77002,4438.196777,4466.209961,2373896000,4466.209961
"14","2015-12-08",4495.263184,4522.353027,4464.182129,4464.182129,2477109000,4464.182129
"15","2015-12-07",4523.908203,4553.650879,4521.39209,4521.39209,2140011400,4521.39209
"16","2015-12-04",4513.565918,4531.305176,4501.453125,4508.452148,2320208000,4508.452148
"17","2015-12-03",4526.490234,4548.827148,4518.816895,4537.381836,2112986600,4537.381836
"18","2015-12-02",4559.147949,4568.413086,4541.666016,4545.862793,2397462400,4545.862793
"19","2015-12-01",4504.222168,4557.667969,4504.222168,4557.667969,2499730800,4557.667969
"20","2015-11-30",4527.408203,4535.971191,4446.458008,4446.458008,4173153600,4446.458008
"21","2015-11-27",4599.081055,4606.800781,4541.96582,4560.560059,2251804400,4560.560059
"22","2015-11-26",4595.861816,4621.255859,4583.304199,4597.057129,2627098400,4597.057129
"23","2015-11-25",4557.472168,4585.545898,4557.39209,4585.545898,2461121400,4585.545898
"24","2015-11-24",4535.705078,4555.272949,4534.578125,4545.37793,2349627200,4545.37793
"25","2015-11-23",4570.160156,4590.314941,4541.065918,4541.065918,2530686600,4541.065918
"26","2015-11-20",4505.900879,4561.333984,4505.371094,4561.333984,3138378000,4561.333984
"27","2015-11-19",4517.582031,4530.895996,4513.352051,4518.939941,2839854400,4518.939941
"28","2015-11-18",4513.705078,4521.557129,4497.910156,4497.910156,2124001200,4497.910156
"29","2015-11-17",4474.522949,4520.695801,4474.522949,4500.946777,2675999800,4500.946777
"30","2015-11-16",4438.687012,4452.26416,4395.96582,4442.180176,2274113200,4442.180176
"31","2015-11-13",4442.015137,4490.336914,4435.250977,4472.837891,2727672600,4472.837891
"32","2015-11-12",4458.654785,4494.85498,4457.562988,4462.225098,2646369800,4462.225098
"33","2015-11-11",4450.214844,4463.308105,4425.878906,4451.588867,2842416000,4451.588867
"34","2015-11-10",4464.131836,4518.789062,4451.053223,4451.053223,3908593200,4451.053223
"35","2015-11-09",4553.418945,4555.569824,4491.041992,4499.506836,2380712200,4499.506836
"36","2015-11-06",4586.591797,4601.759766,4563.699219,4566.551758,2286719800,4566.551758
"37","2015-11-05",4600.643066,4614.257812,4574.130859,4577.23291,2429753200,4577.23291
"38","2015-11-04",4560.731934,4612.564941,4560.379883,4612.564941,3370892800,4612.564941
"39","2015-11-03",4496.660156,4546.383789,4496.660156,4533.085938,3316043600,4533.085938
"40","2015-11-02",4442.418945,4470.417969,4422.257812,4464.958984,2787304000,4464.958984
"41","2015-10-30",4462.971191,4480.598145,4441.334961,4455.180176,3370270800,4455.180176
"42","2015-10-29",4601.564941,4605.762207,4472.020996,4472.020996,3826756400,4472.020996
"43","2015-10-28",4647.390137,4657.410156,4594.745117,4608.740234,4067944400,4608.740234
"44","2015-10-27",4666.478027,4674.058105,4624.277832,4674.058105,2996040000,4674.058105
"45","2015-10-26",4683.111816,4696.157227,4675.060059,4691.710938,3744644000,4691.710938
"46","2015-10-23",4653.216797,4666.905762,4627.303223,4653.145996,4274952800,4653.145996
"47","2015-10-22",4613.765137,4616.221191,4582.150879,4584.562012,3917036000,4584.562012
"48","2015-10-21",4597.191895,4645.237793,4591.227051,4605.226074,4272461600,4605.226074
"49","2015-10-20",4566.836914,4608.35498,4562.01709,4585.824219,4575565200,4585.824219
"50","2015-10-19",4534.709961,4571.166016,4533.937988,4569.844238,4455944400,4569.844238
