,Date,Open,High,Low,Close,Volume,Adj.Close
3,12/30/2015,2635,2670,2625,2640,9421700,2640
4,12/29/2015,2610,2655,2610,2620,4702900,2620
5,12/28/2015,2600,2640,2585,2625,8876100,2625
8,12/23/2015,2640,2640,2600,2600,6575400,2600
9,12/22/2015,2600,2620,2585,2610,5691800,2610
10,12/21/2015,2640,2640,2535,2600,20335500,2600
11,12/18/2015,2650,2660,2635,2640,9332600,2640
12,12/17/2015,2675,2720,2650,2675,9694500,2675
13,12/16/2015,2630,2645,2615,2630,16997800,2630
14,12/15/2015,2635,2660,2595,2620,15703100,2620
15,12/14/2015,2645,2655,2610,2635,9757100,2635
16,12/11/2015,2690,2700,2670,2675,8427100,2675
17,12/10/2015,2725,2730,2685,2690,5688100,2690
19,12/8/2015,2750,2760,2690,2735,14776500,2735
20,12/7/2015,2725,2780,2725,2770,9367800,2770
21,12/4/2015,2780,2790,2730,2750,11180900,2750
22,12/3/2015,2795,2835,2790,2805,5337300,2805
23,12/2/2015,2880,2880,2800,2805,4952600,2805
24,12/1/2015,2865,2870,2845,2865,5561900,2865
25,11/30/2015,2810,2865,2775,2815,5281600,2815
26,11/27/2015,2905,2905,2820,2835,5381200,2835
27,11/26/2015,2890,2905,2885,2890,6483000,2890
28,11/25/2015,2855,2895,2850,2875,7498300,2875
29,11/24/2015,2870,2890,2850,2850,3996800,2850
30,11/23/2015,2925,2950,2870,2870,6685100,2870
31,11/20/2015,2850,2915,2835,2905,22487400,2905
32,11/19/2015,2825,2865,2805,2835,6376400,2835
33,11/18/2015,2825,2830,2790,2800,2567300,2800
34,11/17/2015,2780,2835,2780,2815,4056200,2815
35,11/16/2015,2760,2765,2715,2755,4962900,2755
36,11/13/2015,2795,2810,2740,2790,4033500,2790
37,11/12/2015,2765,2835,2765,2830,5493400,2830
38,11/11/2015,2785,2790,2720,2760,3744900,2760
39,11/10/2015,2700,2795,2690,2755,9853300,2755
40,11/9/2015,2895,2895,2715,2730,12155900,2730
41,11/6/2015,2875,2895,2865,2885,3220000,2885
42,11/5/2015,2885,2920,2860,2870,8620100,2870
43,11/4/2015,2855,2920,2855,2880,13043700,2880
44,11/3/2015,2850,2880,2810,2845,15071300,2845
45,11/2/2015,2890,2890,2780,2800,12522500,2800
46,10/30/2015,2950,2970,2890,2940,4848800,2940
47,10/29/2015,3090,3095,2930,2930,7636100,2930
48,10/28/2015,3065,3100,3050,3080,5205300,3080
49,10/27/2015,3035,3100,3035,3075,6818700,3075
50,10/26/2015,3110,3150,3110,3130,7394400,3130
51,10/23/2015,3125,3140,3090,3110,10059700,3110
52,10/22/2015,3100,3115,3045,3045,8487600,3045
53,10/21/2015,3080,3135,3060,3100,18016800,3100
54,10/20/2015,2960,3110,2960,3060,23273200,3060
