Date,Open,High,Low,Close,Volume,Adj Close,Traded Value
1/2/2012,610,610,600,610,481500,584.06,281224890
1/3/2012,610,620,600,610,1305000,584.06,762198300
1/4/2012,620,630,610,620,11616000,593.64,6895722240
1/5/2012,630,630,620,630,5330000,603.21,3215109300
1/6/2012,620,630,610,620,4861500,593.64,2885980860
1/9/2012,630,630,610,630,5286000,603.21,3188568060
1/10/2012,630,630,620,630,2710500,603.21,1635000705
1/11/2012,620,640,620,620,1604500,593.64,952495380
1/12/2012,610,620,600,610,3962000,584.06,2314045720
1/13/2012,610,610,610,610,0,584.06,0
1/16/2012,630,640,600,630,20134000,603.21,12145030140
1/17/2012,640,640,620,640,5994000,612.79,3673063260
1/18/2012,630,640,620,630,6082500,603.21,3669024825
1/19/2012,650,650,630,650,27524000,622.36,17129836640
1/20/2012,640,650,630,640,4705500,612.79,2883483345
1/23/2012,640,640,640,640,0,612.79,0
1/24/2012,660,660,640,660,6381500,631.94,4032725110
1/25/2012,700,700,660,700,16688000,670.24,11184965120
1/26/2012,710,710,690,710,14059500,679.81,9557788695
1/27/2012,710,720,700,710,26479500,679.81,18001028895
1/30/2012,690,710,680,690,7161500,660.66,4731316590
1/31/2012,710,710,680,710,16392500,679.81,11143785425
2/1/2012,720,730,700,720,9047500,689.38,6237165550
2/2/2012,710,730,710,710,4518000,679.81,3071381580
2/3/2012,710,730,700,710,3931500,679.81,2672673015
2/6/2012,690,720,680,690,2378500,660.66,1571379810
2/7/2012,670,690,660,670,5406500,641.51,3468323815
2/8/2012,690,690,670,690,2757500,660.66,1821769950
2/9/2012,690,700,680,690,2002000,660.66,1322641320
2/10/2012,690,700,680,690,2551500,660.66,1685673990
2/13/2012,690,690,680,690,608000,660.66,401681280
2/14/2012,720,720,680,720,10157000,689.38,7002032660
2/15/2012,760,760,720,760,29605000,727.68,21542966400
2/16/2012,760,770,740,760,17541500,727.68,12764598720
2/17/2012,760,770,750,760,11428000,727.68,8315927040
2/20/2012,770,770,750,770,6252500,737.26,4609718150
2/21/2012,760,780,760,760,7234000,727.68,5264037120
2/22/2012,750,760,750,750,5532000,718.11,3972584520
2/23/2012,760,770,740,760,22777500,727.68,16574731200
2/24/2012,750,760,730,750,9030500,718.11,6484892355
2/27/2012,740,750,730,740,2439500,708.53,1728458935
2/28/2012,730,750,730,730,18219000,698.96,12734352240
2/29/2012,730,750,730,730,15145000,698.96,10585749200
3/1/2012,730,750,730,730,29668000,698.96,20736745280
3/2/2012,740,760,740,740,35559000,708.53,25194618270
3/5/2012,760,780,740,760,44712000,727.68,32536028160
3/6/2012,760,770,750,760,46614500,727.68,33920439360
3/7/2012,800,800,750,800,45572000,765.98,34907240560
3/8/2012,810,810,790,810,9063500,775.56,7029288060
3/9/2012,830,830,800,830,12441000,794.71,9886987110
3/12/2012,810,830,810,810,10942000,775.56,8486177520
3/13/2012,810,820,800,810,7030500,775.56,5452574580
3/14/2012,800,820,800,800,5876500,765.98,4501281470
3/15/2012,790,810,790,790,3210000,756.41,2428076100
3/16/2012,850,870,780,850,20282500,813.86,16507115450
3/19/2012,830,850,830,830,5912000,794.71,4698325520
3/20/2012,810,830,800,810,20562000,775.56,15947064720
3/21/2012,800,810,800,800,5188500,765.98,3974287230
3/22/2012,830,850,800,830,17723000,794.71,14084645330
3/23/2012,830,830,830,830,0,794.71,0
3/26/2012,830,840,820,830,12687000,794.71,10082485770
3/27/2012,870,870,830,870,14023500,833.01,11681715735
3/28/2012,860,870,840,860,15989500,823.43,13166233985
3/29/2012,910,920,860,910,36917000,871.31,32166151270
3/30/2012,910,910,890,910,29068500,871.31,25327674735
4/2/2012,910,910,890,910,9987500,871.31,8702208625
4/3/2012,910,910,910,910,0,871.31,0
4/4/2012,880,910,880,880,13315000,842.58,11218952700
4/5/2012,900,920,880,900,15404500,861.73,13274519785
4/6/2012,900,900,900,900,0,861.73,0
4/9/2012,880,900,880,880,1149500,842.58,968545710
4/10/2012,880,910,880,880,11127500,842.58,9375808950
4/11/2012,890,900,880,890,11588000,852.16,9874830080
4/12/2012,920,920,890,920,14130500,880.88,12447274840
4/13/2012,940,950,930,940,11637000,900.03,10473649110
4/16/2012,910,940,910,910,3355500,871.31,2923680705
4/17/2012,950,970,910,950,25456000,909.61,23155032160
4/18/2012,960,970,950,960,15328000,919.18,14089191040
4/19/2012,940,950,930,940,7998000,900.03,7198439940
4/20/2012,930,950,930,930,4197000,890.46,3737260620
4/23/2012,910,940,900,910,10282500,871.31,8959245075
4/24/2012,910,920,890,910,6929000,871.31,6037306990
4/25/2012,940,940,920,940,8179000,900.03,7361345370
4/26/2012,960,970,940,960,22545500,919.18,20723372690
4/27/2012,940,960,930,940,6065000,900.03,5458681950
4/30/2012,980,980,940,980,19059500,938.33,17884100635
5/1/2012,990,1000,890,990,7852500,947.9,7443384750
5/2/2012,1040,1060,990,1040,22970000,995.78,22873066600
5/3/2012,1090,1100,1040,1090,11185000,1043.65,11673225250
5/4/2012,1100,1110,1050,1100,18327000,1053.23,19302546210
5/7/2012,1090,1100,1050,1090,19444000,1043.65,20292730600
5/8/2012,1090,1100,1070,1090,4083500,1043.65,4261744775
5/9/2012,1060,1070,1040,1060,4732500,1014.93,4803156225
5/10/2012,1040,1060,1020,1040,14656000,995.78,14594151680
5/11/2012,1050,1050,1020,1050,8372500,1005.35,8417292875
5/14/2012,1010,1060,1000,1010,13268000,967.05,12830819400
5/15/2012,1000,1030,970,1000,12587000,957.48,12051800760
5/16/2012,1020,1020,960,1020,10261500,976.63,10021688745
5/17/2012,1020,1020,1020,1020,0,976.63,0
5/18/2012,1020,1020,1020,1020,0,976.63,0
5/21/2012,1030,1030,990,1030,7260500,986.2,7160305100
5/22/2012,1030,1060,1030,1030,8488000,986.2,8370865600
5/23/2012,1010,1030,970,1010,15971500,967.05,15445239075
5/24/2012,1020,1020,990,1020,8120500,993.91,8071046155
5/25/2012,1000,1010,970,1000,22786000,974.42,22203134120
5/28/2012,1000,1010,970,1000,20872500,974.42,20338581450
5/29/2012,990,1000,990,990,6584000,964.67,6351387280
5/30/2012,950,1000,920,950,16934500,925.7,15676266650
5/31/2012,920,940,890,920,10062000,896.47,9020281140
6/1/2012,920,930,910,920,4272500,896.47,3830168075
6/4/2012,870,920,870,870,23827000,847.74,20199100980
6/5/2012,930,970,880,930,11939000,906.21,10819241190
6/6/2012,950,970,940,950,5929000,925.7,5488475300
6/7/2012,960,980,950,960,20141000,935.44,18840697040
6/8/2012,960,960,950,960,6271500,935.44,5866611960
6/11/2012,980,980,960,980,8653000,954.93,8263009290
6/12/2012,1000,1030,960,1000,17623500,974.42,17172690870
6/13/2012,980,1010,980,980,8980000,954.93,8575271400
6/14/2012,920,980,910,920,7874000,896.47,7058804780
6/15/2012,930,950,920,930,3696500,906.21,3349805265
6/18/2012,940,960,930,940,3094000,915.95,2833949300
6/19/2012,930,940,910,930,3084000,906.21,2794751640
6/20/2012,950,950,930,950,10934000,925.7,10121603800
6/21/2012,990,1010,950,990,16143000,964.67,15572667810
6/22/2012,990,1000,970,990,6517500,964.67,6287236725
6/25/2012,990,1010,970,970,10640500,945.19,10057294195
6/26/2012,970,1000,970,990,9771000,964.67,9425790570
6/27/2012,990,1030,990,1010,13849500,984.16,13630123920
6/28/2012,1010,1030,1000,1010,11701500,984.16,11516148240
6/29/2012,1010,1050,1020,1050,10887500,1023.14,11139436750
7/2/2012,1040,1050,1030,1040,5164000,1013.4,5233197600
7/3/2012,1060,1070,1040,1060,9453000,1032.88,9763814640
7/4/2012,1050,1070,1040,1050,3624500,1023.14,3708370930
7/5/2012,1020,1050,1020,1020,4256000,993.91,4230080960
7/6/2012,1050,1050,1020,1050,2137500,1023.14,2186961750
7/9/2012,1000,1030,980,1000,12723000,974.42,12397545660
7/10/2012,1000,1010,990,1000,2429000,974.42,2366866180
7/11/2012,1000,1010,990,1000,1331500,974.42,1297440230
7/12/2012,1010,1020,980,1010,3263500,984.16,3211806160
7/13/2012,1020,1060,1010,1020,10584000,993.91,10519543440
7/16/2012,1030,1040,1020,1030,4257500,1003.65,4273039875
7/17/2012,1050,1060,1020,1050,17733000,1023.14,18143341620
7/18/2012,1050,1060,1040,1050,4535000,1023.14,4639939900
7/19/2012,1040,1050,1020,1040,7814500,1013.4,7919214300
7/20/2012,1030,1040,1020,1030,3021000,1003.65,3032026650
7/23/2012,1000,1020,990,1000,2078000,974.42,2024844760
7/24/2012,1010,1020,1000,1010,4142500,984.16,4076882800
7/25/2012,1010,1010,1000,1010,1070000,984.16,1053051200
7/26/2012,1030,1030,1000,1030,1984500,1003.65,1991743425
7/27/2012,1030,1040,1020,1030,3728500,1003.65,3742109025
7/30/2012,1030,1040,1010,1030,6622000,1003.65,6646170300
7/31/2012,1000,1030,990,1000,5406000,974.42,5267714520
8/1/2012,1000,1020,1000,1000,1986000,974.42,1935198120
8/2/2012,1010,1010,980,1010,1454000,984.16,1430968640
8/3/2012,1010,1010,990,1010,4551500,984.16,4479404240
8/6/2012,1030,1040,1010,1030,13568500,1003.65,13618025025
8/7/2012,1080,1090,1020,1080,27527500,1052.37,28969115175
8/8/2012,1060,1090,1050,1060,6242500,1032.88,6447753400
8/9/2012,1090,1110,1050,1090,16922500,1062.12,17973725700
8/10/2012,1130,1130,1080,1130,6641500,1101.09,7312889235
8/13/2012,1090,1130,1080,1090,2428500,1062.12,2579358420
8/14/2012,1100,1100,1060,1100,2297500,1071.86,2462598350
8/15/2012,1060,1100,1050,1060,7417500,1032.88,7661387400
8/16/2012,1070,1080,1050,1070,9664500,1042.63,10076497635
8/17/2012,1070,1070,1070,1070,0,1042.63,0
8/20/2012,1070,1070,1070,1070,0,1042.63,0
8/21/2012,1070,1070,1070,1070,0,1042.63,0
8/22/2012,1070,1070,1070,1070,0,1042.63,0
8/23/2012,1070,1080,1060,1070,2458000,1042.63,2562784540
8/24/2012,1100,1100,1060,1100,5529500,1071.86,5926849870
8/27/2012,1090,1100,1080,1090,283000,1062.12,300579960
8/28/2012,1070,1100,1060,1070,2358500,1042.63,2459042855
8/29/2012,1060,1080,1030,1060,11775500,1032.88,12162678440
8/30/2012,1040,1050,1030,1040,3637500,1013.4,3686242500
8/31/2012,1050,1060,1030,1050,5795000,1023.14,5929096300
9/3/2012,1080,1090,1050,1080,9545500,1052.37,10045397835
9/4/2012,1100,1120,1080,1100,23436000,1071.86,25120110960
9/5/2012,1090,1110,1090,1090,10311000,1062.12,10951519320
9/6/2012,1110,1110,1080,1110,7210000,1081.6,7798336000
9/7/2012,1150,1160,1110,1150,15854000,1120.58,17765675320
9/10/2012,1160,1160,1140,1160,4994500,1130.33,5645433185
9/11/2012,1150,1160,1130,1150,1656500,1120.58,1856240770
9/12/2012,1140,1140,1130,1140,4051500,1110.84,4500568260
9/13/2012,1130,1140,1120,1130,2017000,1101.09,2220898530
9/14/2012,1140,1150,1130,1140,3623000,1110.84,4024573320
9/17/2012,1130,1160,1130,1130,2588500,1101.09,2850171465
9/18/2012,1120,1130,1110,1120,3936500,1091.35,4296099275
9/19/2012,1140,1140,1110,1140,1114500,1110.84,1238031180
9/20/2012,1160,1160,1130,1160,4234500,1130.33,4786382385
9/21/2012,1190,1230,1150,1190,14651000,1159.56,16988713560
9/24/2012,1250,1260,1180,1250,15705500,1218.02,19129613110
9/25/2012,1230,1270,1220,1230,10406000,1198.53,12471903180
9/26/2012,1210,1240,1200,1210,4789000,1179.05,5646470450
9/27/2012,1190,1230,1180,1190,5272000,1159.56,6113200320
9/28/2012,1210,1220,1180,1210,3888500,1179.05,4584735925
10/1/2012,1260,1260,1210,1260,7859500,1227.77,9649658315
10/2/2012,1290,1290,1260,1290,10444000,1257,13128108000
10/3/2012,1430,1550,1290,1430,41632500,1393.42,58011558150
10/4/2012,1430,1500,1410,1430,13545000,1393.42,18873873900
10/5/2012,1430,1460,1360,1430,16695500,1393.42,23263843610
10/8/2012,1390,1430,1330,1390,37795500,1354.44,51191737020
10/9/2012,1390,1410,1370,1390,21458000,1354.44,29063573520
10/10/2012,1380,1390,1350,1380,11555500,1344.7,15538680850
10/11/2012,1360,1390,1360,1360,9112000,1325.21,12075313520
10/12/2012,1330,1380,1330,1330,15343000,1295.98,19884221140
10/15/2012,1360,1390,1330,1360,22774000,1325.21,30180332540
10/16/2012,1350,1390,1340,1350,10660000,1315.47,14022910200
10/17/2012,1350,1370,1350,1350,5678500,1315.47,7469896395
10/18/2012,1390,1440,1360,1390,38095500,1354.44,51598069020
10/19/2012,1380,1420,1340,1380,43206500,1344.7,58099780550
10/22/2012,1400,1400,1350,1400,22238000,1364.19,30336857220
10/23/2012,1390,1410,1370,1390,14037500,1354.44,19012951500
10/24/2012,1370,1390,1360,1370,12879500,1334.95,17193488525
10/25/2012,1370,1390,1360,1370,21090500,1334.95,28154762975
10/26/2012,1370,1370,1370,1370,0,1334.95,0
