,,,,,,
Equity Report,2010,2011,2012,2013,2014,2015
PER(x),NA,NA,11.8,10.6,28.32,
Market Cap (mio IDR),NA,NA,4334547,3901092,14229431,
Weight Cap (%),NA,NA,0.11,0.1,0.29,
,,,,,,
Consolidated Financial Statement,2010,2011,2012,2013,2014,
Current Assets,3749.3,4603.8,7789.7,7781.4,10524.2,
Non Current Assets,329.4,512.2,576.5,1006.9,2017.8,
Total Assets,4078.7,5116,8366.2,8788.3,12542,
Short Term Liabilities,3420.2,4418,5291.8,5427.2,7782.2,
Long Term Liabilities,208.3,77.7,1067.3,977.7,1965.1,
Total Liabilities,3628.6,4495.8,6359.2,6404.9,9693.2,
Total Equity,450.2,620.2,2007.1,2383.4,2848.83,
Total Liabilities and Equity,4078.7,5116,8366.2,8788.3,12542,
Net Working Capital,185.74,2497.88,2497.88,2354.27,2796.02,
,,,,,,
Income Statement,2010,2011,2012,2013,2014,
Revenue,5852.21,7274.17,8808.42,9788.2,10483.9,
Cost of Revenues,5276.9,6610.97,8076.16,-8775.9,-9177.9,
Gross Profit,576.3,663.2,732.26,1012.3,1306.01,
EBIT,380.4,460.8,628.5,672.3,875.5,
Net Income,,,,,,
Total Comprehensive Income,,,,,,
Earning Attributed to Controlling Entity,115,172.5,254.3,368,501.2,
EPS Distributed to Main Controlling Entity (000 IDR),6.9,9.5,38,38.2,51.9,
,,,,,,
Cashflow Statement,2010,2011,2012,2013,2014,
Cashflow from Operating Activity,-179.4,-109.1,-186.7,-385.2,-88.7,
Cashflow from Invesment Activity,-307.2,139.6,-27.7,-378.6,-1082.5,
Cashflow from Financial Activity,662.1,197.8,1814.9,317.4,1727.9,
,,,,,,
Financial Ratio,2010,2011,2012,2013,2014,
Important Ratios,2010,2011,2012,2013,2014,
Current Ratio,1.1,1,1.4,1.4,1.4,
Quick Ratio,0.4,0.4,0.7,1.4,1.3,
AR Turnover,11.5,9.3,7.2,5.7,4.5,
Aset Turnover,1.6,1.6,1.3,1.1,0.8,
Solvency Measures,2010,2011,2012,2013,2014,
Long Term Liabilities to Equity (%),NA,NA,NA,NA,NA,
Total Liabilities to Equity (%),8.1,7.3,3.2,0.4,0.7,
Long Term Liabilities to TA (%),0.9,0.9,0.8,2.7,3.4,
Times Interest Earned Ratio,2.5,2.9,2.8,7.3,5.1,
Profitability Measures,2010,2011,2012,2013,2014,
Gross Profit Margin (%),9.8,9.1,8.3,10.3,12.5,
Operating Profit Margin (%),6.3,5.8,5.1,6.9,8.4,
EBITDA Margin (%),6.6,6.2,5.5,7.3,9,
Net Profit Margin (%),2.1,2.3,2.8,3.8,4.8,
Liquidity Measures,2010,2011,2012,2013,2014,
ROE (%),31.6,32.1,19.3,15.4,17.6,
ROA (%),3.4,3.7,3.8,4.2,4,
Dividend Payment Ratio (%),NA,NA,8,6,22,
Growth Measures,2010,2011,2012,2013,2014,
Asset Growth (%),32.8,25.4,63.5,5,42.7,
Liabilities Growth (%),32.7,23.9,41.4,0.7,51.3,
Equity Growth (%),33.9,37.7,223.6,18.8,19.5,
Net Working Capital Growth (%),69.2,-43.6,1244.8,-5.8,18.8,
Sales Growth (%),30.3,24.3,21.1,11.1,7.1,
Gross Profit Growth (%),31.1,15.1,10.4,38.2,29,
Operating Profit Growth (%),41.4,13.6,5.3,7,30.2,
EBITDA Growth (%),39.7,15.6,7.6,12.5,32.4,
Net Profit Growth (%),144.8,38.6,47.7,44.7,36.2,
