Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,1670.00,1670.00,1670.00,1670.00,000,1670.00
2015-12-31,1670.00,1670.00,1670.00,1670.00,000,1670.00
2015-12-30,1645.00,1685.00,1635.00,1670.00,61627500,1670.00
2015-12-29,1630.00,1645.00,1630.00,1635.00,7769200,1635.00
2015-12-28,1640.00,1640.00,1620.00,1635.00,14048200,1635.00
2015-12-25,1620.00,1620.00,1620.00,1620.00,000,1620.00
2015-12-24,1620.00,1620.00,1620.00,1620.00,000,1620.00
2015-12-23,1650.00,1650.00,1605.00,1620.00,32244400,1620.00
2015-12-22,1645.00,1650.00,1620.00,1640.00,14458800,1640.00
2015-12-21,1635.00,1650.00,1630.00,1635.00,12813800,1635.00
2015-12-18,1665.00,1665.00,1635.00,1640.00,12147700,1640.00
2015-12-17,1665.00,1680.00,1660.00,1675.00,25224700,1675.00
2015-12-16,1650.00,1655.00,1640.00,1645.00,12543900,1645.00
2015-12-15,1650.00,1655.00,1635.00,1645.00,13527100,1645.00
2015-12-14,1625.00,1645.00,1610.00,1645.00,16123900,1645.00
2015-12-11,1650.00,1670.00,1635.00,1640.00,21280100,1640.00
2015-12-10,1625.00,1650.00,1625.00,1640.00,21136900,1640.00
2015-12-09,1640.00,1640.00,1640.00,1640.00,000,1640.00
2015-12-08,1640.00,1655.00,1635.00,1640.00,10433200,1640.00
2015-12-07,1660.00,1665.00,1640.00,1650.00,15102900,1650.00
2015-12-04,1660.00,1675.00,1635.00,1645.00,19568600,1645.00
2015-12-03,1670.00,1690.00,1660.00,1670.00,9779400,1670.00
2015-12-02,1685.00,1690.00,1675.00,1680.00,16349500,1680.00
2015-12-01,1650.00,1675.00,1630.00,1675.00,29344900,1675.00
2015-11-30,1690.00,1700.00,1605.00,1605.00,71937100,1605.00
2015-11-27,1720.00,1735.00,1690.00,1690.00,29252500,1690.00
2015-11-26,1735.00,1735.00,1710.00,1715.00,22982400,1715.00
2015-11-25,1715.00,1735.00,1715.00,1720.00,15758400,1720.00
2015-11-24,1725.00,1730.00,1710.00,1715.00,15428100,1715.00
2015-11-23,1745.00,1760.00,1720.00,1725.00,22836900,1725.00
2015-11-20,1680.00,1745.00,1680.00,1735.00,47591100,1735.00
2015-11-19,1680.00,1715.00,1675.00,1690.00,23016300,1690.00
2015-11-18,1680.00,1700.00,1665.00,1670.00,11937700,1670.00
2015-11-17,1685.00,1690.00,1680.00,1680.00,11651100,1680.00
2015-11-16,1645.00,1670.00,1635.00,1660.00,11482900,1660.00
2015-11-13,1670.00,1690.00,1645.00,1680.00,20989300,1680.00
2015-11-12,1690.00,1705.00,1670.00,1690.00,16242400,1690.00
2015-11-11,1685.00,1690.00,1675.00,1680.00,16008400,1680.00
2015-11-10,1645.00,1705.00,1635.00,1685.00,24336800,1685.00
2015-11-09,1685.00,1695.00,1645.00,1660.00,25883700,1660.00
2015-11-06,1700.00,1715.00,1690.00,1700.00,15275200,1700.00
2015-11-05,1705.00,1725.00,1685.00,1690.00,45047200,1690.00
2015-11-04,1750.00,1755.00,1710.00,1710.00,46559000,1710.00
2015-11-03,1720.00,1750.00,1710.00,1735.00,90661900,1735.00
2015-11-02,1625.00,1685.00,1605.00,1685.00,37334700,1685.00
2015-10-30,1630.00,1655.00,1610.00,1630.00,54373200,1630.00
2015-10-29,1715.00,1720.00,1620.00,1625.00,66007000,1625.00
2015-10-28,1725.00,1760.00,1690.00,1705.00,67114700,1705.00
2015-10-27,1740.00,1745.00,1705.00,1710.00,42190100,1710.00
2015-10-26,1750.00,1770.00,1730.00,1730.00,56572400,1730.00
2015-10-23,1660.00,1755.00,1655.00,1735.00,136262700,1735.00
2015-10-22,1650.00,1655.00,1635.00,1640.00,12684100,1640.00
2015-10-21,1665.00,1685.00,1645.00,1650.00,62376000,1650.00
2015-10-20,1620.00,1665.00,1615.00,1655.00,96052600,1655.00
2015-10-19,1605.00,1625.00,1595.00,1620.00,24899000,1620.00
2015-10-16,1610.00,1625.00,1595.00,1595.00,33999400,1595.00
2015-10-14,1605.00,1605.00,1605.00,1605.00,000,1605.00
2015-10-13,1610.00,1625.00,1595.00,1605.00,20640100,1605.00
2015-10-12,1640.00,1645.00,1615.00,1620.00,18409400,1620.00
2015-10-09,1635.00,1660.00,1625.00,1625.00,35055100,1625.00
2015-10-08,1630.00,1645.00,1590.00,1615.00,15492400,1615.00
2015-10-07,1620.00,1640.00,1615.00,1625.00,17113800,1625.00
2015-10-06,1650.00,1670.00,1610.00,1620.00,35570300,1620.00
2015-10-05,1600.00,1650.00,1600.00,1635.00,22866800,1635.00
2015-10-02,1605.00,1605.00,1580.00,1590.00,4860100,1590.00
2015-10-01,1570.00,1615.00,1565.00,1610.00,9671700,1610.00
2015-09-30,1600.00,1615.00,1550.00,1550.00,11404000,1550.00
2015-09-29,1565.00,1600.00,1525.00,1600.00,9234700,1600.00
2015-09-28,1625.00,1625.00,1585.00,1585.00,4750500,1585.00
2015-09-25,1590.00,1625.00,1580.00,1625.00,10240600,1625.00
2015-09-24,1595.00,1595.00,1595.00,1595.00,000,1595.00
2015-09-23,1590.00,1600.00,1570.00,1595.00,10390800,1595.00
2015-09-22,1600.00,1615.00,1595.00,1600.00,12541300,1600.00
2015-09-21,1590.00,1610.00,1590.00,1595.00,19941800,1595.00
2015-09-18,1620.00,1635.00,1610.00,1610.00,33571100,1610.00
2015-09-17,1590.00,1620.00,1590.00,1620.00,13695300,1620.00
2015-09-16,1625.00,1635.00,1590.00,1590.00,14842000,1590.00
2015-09-15,1590.00,1615.00,1590.00,1605.00,8664500,1605.00
2015-09-14,1635.00,1640.00,1600.00,1610.00,8506600,1610.00
2015-09-11,1645.00,1650.00,1615.00,1615.00,9569300,1615.00
2015-09-10,1620.00,1655.00,1610.00,1625.00,20496200,1625.00
2015-09-09,1645.00,1675.00,1635.00,1665.00,47807200,1665.00
2015-09-08,1595.00,1630.00,1580.00,1620.00,33059800,1620.00
2015-09-07,1575.00,1600.00,1560.00,1590.00,18114900,1590.00
2015-09-04,1635.00,1635.00,1585.00,1585.00,28293800,1585.00
2015-09-03,1590.00,1645.00,1590.00,1635.00,48799900,1635.00
2015-09-02,1555.00,1595.00,1530.00,1580.00,23346000,1580.00
2015-09-01,1600.00,1610.00,1565.00,1565.00,12975600,1565.00
2015-08-31,1605.00,1640.00,1590.00,1605.00,26469400,1605.00
2015-08-28,1670.00,1685.00,1590.00,1595.00,30002100,1595.00
2015-08-27,1625.00,1675.00,1625.00,1650.00,39766000,1650.00
2015-08-26,1600.00,1605.00,1505.00,1600.00,36804600,1600.00
2015-08-25,1615.00,1665.00,1535.00,1570.00,55687300,1570.00
2015-08-24,1600.00,1640.00,1565.00,1600.00,31576200,1600.00
2015-08-21,1700.00,1720.00,1660.00,1700.00,25579100,1700.00
2015-08-20,1745.00,1760.00,1715.00,1740.00,4979100,1740.00
2015-08-19,1760.00,1780.00,1735.00,1745.00,5803500,1745.00
2015-08-18,1795.00,1800.00,1755.00,1765.00,7045500,1765.00
2015-08-17,1795.00,1795.00,1795.00,1795.00,000,1795.00
2015-08-14,1790.00,1800.00,1735.00,1795.00,17698800,1795.00
2015-08-13,1725.00,1780.00,1725.00,1780.00,18859900,1780.00
2015-08-12,1735.00,1745.00,1675.00,1700.00,35148000,1700.00
2015-08-11,1830.00,1845.00,1750.00,1775.00,25084300,1775.00
2015-08-10,1815.00,1825.00,1775.00,1820.00,9651200,1820.00
2015-08-07,1820.00,1820.00,1815.00,1815.00,9575600,1815.00
2015-08-06,1835.00,1840.00,1800.00,1820.00,23826300,1820.00
2015-08-05,1780.00,1830.00,1775.00,1820.00,34429700,1820.00
2015-08-04,1795.00,1800.00,1775.00,1780.00,8267000,1780.00
2015-08-03,1770.00,1810.00,1760.00,1795.00,32339600,1795.00
2015-07-31,1735.00,1810.00,1735.00,1770.00,40574300,1770.00
2015-07-30,1700.00,1735.00,1680.00,1725.00,44346900,1725.00
2015-07-29,1755.00,1790.00,1615.00,1670.00,56767100,1670.00
2015-07-28,1760.00,1790.00,1730.00,1735.00,35863500,1735.00
2015-07-27,1800.00,1845.00,1760.00,1775.00,27082400,1775.00
2015-07-24,1855.00,1855.00,1815.00,1815.00,10204100,1815.00
2015-07-23,1870.00,1880.00,1855.00,1855.00,11666300,1855.00
2015-07-22,1820.00,1900.00,1820.00,1870.00,39316400,1870.00
2015-07-21,1820.00,1820.00,1820.00,1820.00,000,1820.00
2015-07-20,1820.00,1820.00,1820.00,1820.00,000,1820.00
2015-07-17,1820.00,1820.00,1820.00,1820.00,000,1820.00
2015-07-16,1820.00,1820.00,1820.00,1820.00,000,1820.00
2015-07-15,1830.00,1845.00,1810.00,1820.00,13971200,1820.00
2015-07-14,1870.00,1880.00,1820.00,1830.00,27766100,1830.00
2015-07-13,1815.00,1880.00,1795.00,1865.00,45769100,1865.00
2015-07-10,1800.00,1815.00,1775.00,1810.00,52266900,1810.00
2015-07-09,1750.00,1785.00,1735.00,1770.00,33631400,1770.00
2015-07-08,1700.00,1790.00,1695.00,1775.00,85084500,1775.00
2015-07-07,1625.00,1720.00,1615.00,1720.00,85668300,1720.00
2015-07-06,1635.00,1670.00,1585.00,1620.00,64273200,1620.00
2015-07-03,1650.00,1685.00,1615.00,1675.00,41945800,1675.00
2015-07-02,1575.00,1665.00,1570.00,1650.00,59136400,1650.00
2015-07-01,1525.00,1565.00,1515.00,1565.00,46157800,1565.00
2015-06-30,1525.00,1550.00,1490.00,1520.00,33451100,1520.00
2015-06-29,1560.00,1570.00,1510.00,1525.00,17860500,1525.00
2015-06-26,1585.00,1590.00,1570.00,1580.00,12438000,1580.00
2015-06-25,1625.00,1625.00,1565.00,1585.00,31227500,1585.00
2015-06-24,1660.00,1660.00,1605.00,1625.00,23880600,1625.00
2015-06-23,1595.00,1670.00,1590.00,1660.00,34137300,1660.00
2015-06-22,1553.53,1563.30,1543.76,1548.65,6581500,1548.65
2015-06-19,1558.42,1568.19,1533.99,1558.42,18347200,1558.42
2015-06-18,1533.99,1563.30,1519.34,1543.76,12578500,1543.76
2015-06-17,1563.30,1612.16,1563.30,1563.30,14277500,1563.30
2015-06-16,1533.99,1553.53,1499.79,1553.53,17476000,1553.53
2015-06-15,1597.50,1597.50,1504.68,1538.88,29305200,1538.88
2015-06-12,1597.50,1631.70,1582.84,1597.50,6345400,1597.50
2015-06-11,1631.70,1641.47,1621.93,1621.93,6751000,1621.93
2015-06-10,1597.50,1646.35,1597.50,1631.70,13221100,1631.70
2015-06-09,1651.24,1651.24,1568.19,1607.27,15148900,1607.27
2015-06-08,1646.35,1670.78,1646.35,1651.24,22144400,1651.24
2015-06-05,1631.70,1656.12,1617.04,1646.35,22450400,1646.35
2015-06-04,1631.70,1661.01,1631.70,1646.35,12867500,1646.35
2015-06-03,1665.89,1680.55,1631.70,1631.70,27002400,1631.70
2015-06-02,1704.98,1704.98,1704.98,1704.98,000,1704.98
2015-06-01,1661.01,1704.98,1646.35,1704.98,26693900,1704.98
2015-05-29,1661.01,1685.44,1656.12,1661.01,15479100,1661.01
2015-05-28,1695.21,1704.98,1685.44,1690.32,11185800,1690.32
2015-05-27,1695.21,1709.86,1690.32,1695.21,13061800,1695.21
2015-05-26,1724.52,1734.29,1700.09,1700.09,11456500,1700.09
2015-05-25,1724.52,1748.95,1709.86,1724.52,20965700,1724.52
2015-05-22,1700.09,1729.40,1690.32,1724.52,21312200,1724.52
2015-05-21,1704.98,1719.63,1680.55,1695.21,15026500,1695.21
2015-05-20,1719.63,1729.40,1700.09,1704.98,18448800,1704.98
2015-05-19,1719.63,1729.40,1690.32,1719.63,12491100,1719.63
2015-05-18,1719.63,1724.52,1709.86,1719.63,4038600,1719.63
